,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DELAY
0,SCE,ORD,5479.0
1,SCE,ATL,90.0
2,SCE,DTW,-186.0
3,14025,11697,-36.0
4,MRY,SFO,1426.0
5,MRY,PHX,3098.0
6,MRY,LAX,13083.0
7,EWR,AVP,-162.0
8,EWR,MCO,35171.0
9,EWR,CAK,635.0
10,EWR,CLT,7828.0
11,EWR,GSP,3009.0
12,EWR,BQN,5461.0
13,EWR,DSM,3453.0
14,EWR,IND,3301.0
15,EWR,DAY,4547.0
16,EWR,ANC,53.0
17,EWR,CHS,3763.0
18,EWR,EGE,1262.0
19,EWR,LAX,21139.0
20,EWR,DCA,12676.0
21,EWR,SLC,645.0
22,EWR,SDF,4479.0
23,EWR,HDN,340.0
24,EWR,GRR,3302.0
25,EWR,TVC,78.0
26,EWR,TPA,13652.0
27,EWR,BUF,-235.0
28,EWR,SNA,-3628.0
29,EWR,ORF,1668.0
30,EWR,STT,-1078.0
31,EWR,LAS,1941.0
32,EWR,GSO,3024.0
33,EWR,RSW,3433.0
34,EWR,OMA,1938.0
35,EWR,HOU,-1681.0
36,EWR,SAV,3797.0
37,EWR,XNA,-312.0
38,EWR,SBN,4128.0
39,EWR,ALB,-311.0
40,EWR,SAN,-3465.0
41,EWR,TUL,200.0
42,EWR,PIT,919.0
43,EWR,MTJ,255.0
44,EWR,IAH,25733.0
45,EWR,PHL,5.0
46,EWR,MSN,2254.0
47,EWR,PVD,2712.0
48,EWR,BNA,10936.0
49,EWR,BZN,1009.0
50,EWR,RIC,11515.0
51,EWR,SJU,9352.0
52,EWR,MKE,4031.0
53,EWR,ORD,36074.0
54,EWR,JAX,4887.0
55,EWR,IAD,4238.0
56,EWR,OKC,2893.0
57,EWR,CMH,2294.0
58,EWR,DFW,2419.0
59,EWR,MHT,2663.0
60,EWR,TYS,6009.0
61,EWR,BOS,28386.0
62,EWR,DEN,9540.0
63,EWR,SEA,-3845.0
64,EWR,SRQ,716.0
65,EWR,PDX,4646.0
66,EWR,JAC,695.0
67,EWR,BDL,71.0
68,EWR,PBI,23789.0
69,EWR,ATL,-3720.0
70,EWR,MSY,333.0
71,EWR,STL,6730.0
72,EWR,RDU,6412.0
73,EWR,ROC,-1794.0
74,EWR,MDW,5829.0
75,EWR,SAT,2671.0
76,EWR,MCI,3411.0
77,EWR,DTW,8337.0
78,EWR,CVG,2386.0
79,EWR,CLE,11474.0
80,EWR,SYR,606.0
81,EWR,BWI,1861.0
82,EWR,PHX,5135.0
83,EWR,AVL,662.0
84,EWR,FLL,18124.0
85,EWR,JFK,0.0
86,EWR,HNL,1443.0
87,EWR,SFO,21241.0
88,EWR,PWM,6100.0
89,EWR,BTV,3062.0
90,EWR,MYR,-8.0
91,EWR,MSP,3309.0
92,EWR,AUS,1223.0
93,EWR,MIA,5922.0
94,EWR,MEM,2135.0
95,FSM,DFW,5841.0
96,FSM,ATL,7259.0
97,CAK,TPA,-2357.0
98,CAK,ATL,-4870.0
99,CAK,MCO,-2159.0
100,CAK,RSW,-170.0
101,CAK,DCA,-307.0
102,CAK,EWR,1619.0
103,CAK,DTW,652.0
104,CAK,ORD,5356.0
105,CAK,BOS,938.0
106,CAK,LAS,-581.0
107,CAK,LGA,3693.0
108,CAK,DEN,-2204.0
109,GNV,MIA,3057.0
110,GNV,ATL,18457.0
111,10257,11618,518.0
112,10257,10821,-673.0
113,10257,15304,-335.0
114,10257,11433,-44.0
115,10257,13930,-511.0
116,10257,13487,-56.0
117,10257,13232,-808.0
118,10257,11057,-573.0
119,10257,13204,-395.0
120,10257,12889,-347.0
121,10257,10397,-543.0
122,CLD,LAX,3291.0
123,LAW,DFW,8949.0
124,10268,13930,-834.0
125,10135,13930,-73.0
126,10135,10397,-125.0
127,10135,11433,125.0
128,BQN,MCO,-1247.0
129,BQN,FLL,1390.0
130,BQN,EWR,6842.0
131,BQN,JFK,-1161.0
132,12323,11057,-129.0
133,12323,10397,-374.0
134,IND,IAD,-154.0
135,IND,MCO,2800.0
136,IND,RSW,1599.0
137,IND,EWR,14007.0
138,IND,DFW,2174.0
139,IND,BWI,4515.0
140,IND,CLT,789.0
141,IND,BOS,2238.0
142,IND,HOU,-246.0
143,IND,DEN,7051.0
144,IND,PHX,-2086.0
145,IND,DAL,1868.0
146,IND,FLL,-1011.0
147,IND,JFK,2161.0
148,IND,LAX,96.0
149,IND,LGA,-670.0
150,IND,ATL,1916.0
151,IND,IAH,4278.0
152,IND,PHL,-455.0
153,IND,SFO,-1226.0
154,IND,DCA,-1293.0
155,IND,RDU,239.0
156,IND,SLC,-59.0
157,IND,MCI,828.0
158,IND,TPA,2831.0
159,IND,MSP,86.0
160,IND,DTW,3810.0
161,IND,TTN,4.0
162,IND,ORD,15131.0
163,IND,LAS,-4599.0
164,OTH,SFO,3681.0
165,OTH,DEN,103.0
166,10279,11298,-355.0
167,10279,12266,-146.0
168,10279,12889,-383.0
169,10279,11259,993.0
170,10279,11292,-119.0
171,11252,10397,-121.0
172,12335,14520,-167.0
173,12335,13487,-196.0
174,CHS,IAD,125.0
175,CHS,OKC,70.0
176,CHS,ABE,0.0
177,CHS,EWR,13586.0
178,CHS,DFW,2713.0
179,CHS,BWI,2935.0
180,CHS,CLT,-887.0
181,CHS,BOS,1476.0
